phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
9.975730820594e-01,9.953816647545e-01,1.577350544318e+00,1.572808033877e+00,3.491101949293e-01,3.309438165643e-01,2.409557207222e+00,2.892120979145e+00,1.400000000000e+01,2.300000000000e+01,5.000000000000e+00,6.000000000000e+01,10,"4,5,7,8,11,14,15,16,18,20,22,29,37,39,47"
1.016355948969e+00,9.892217769215e-01,1.531233827129e+00,1.541169728233e+00,3.944569101981e-01,3.619579474676e-01,2.244175310742e+00,2.774308515375e+00,1.300000000000e+01,2.200000000000e+01,5.000000000000e+00,5.900000000000e+01,11,"5,7,8,10,11,13,17,18,20,21,25,28,29,32,36"
9.866977450705e-01,1.000711404247e+00,1.568307122482e+00,1.566731553746e+00,3.661392800356e-01,3.462600855911e-01,2.398182647892e+00,2.887873120022e+00,1.500000000000e+01,2.300000000000e+01,5.000000000000e+00,5.600000000000e+01,12,"5,9,10,11,14,16,17,18,19,21,22,26,27,29,35"
1.003693647252e+00,9.998413830126e-01,1.562061538150e+00,1.552039243405e+00,3.600804618513e-01,3.582980670059e-01,2.436278180075e+00,2.846320724193e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.500000000000e+01,13,"4,5,6,7,9,10,13,16,18,20,23,27,29,39"
1.021682815079e+00,1.019658477903e+00,1.561238278746e+00,1.558284269828e+00,3.387163283803e-01,3.349484001331e-01,2.423799894583e+00,2.862984441677e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,4.100000000000e+01,14,"4,7,9,10,11,14,16,17,20,21,23,24,29,37,39"
9.908538152417e-01,9.901094145674e-01,1.568497948006e+00,1.568986824547e+00,3.331235002283e-01,3.329936584198e-01,2.486210450043e+00,2.907541436482e+00,1.500000000000e+01,2.300000000000e+01,5.000000000000e+00,5.100000000000e+01,15,"3,6,8,9,10,14,17,18,19,22,25,26,28,29,37,39"
1.028796196379e+00,1.002043642298e+00,1.566281752763e+00,1.548188342080e+00,3.732220124519e-01,3.676177277893e-01,2.354429965684e+00,2.806202282987e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.600000000000e+01,16,"8,9,10,12,15,17,19,21,24,25,27,28,29,32"
9.623309479959e-01,1.020067918832e+00,1.562899306090e+00,1.551357301454e+00,3.360181278983e-01,3.536044639348e-01,2.416059530978e+00,2.837751267596e+00,1.400000000000e+01,2.200000000000e+01,8.000000000000e+00,5.200000000000e+01,17,"5,8,9,10,13,16,18,20,24,27,28,31,32,36"
9.869760157693e-01,1.017539636943e+00,1.550346265258e+00,1.542153030910e+00,3.783148265650e-01,3.655941553471e-01,2.350459994984e+00,2.796894486201e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.400000000000e+01,18,"4,7,8,11,13,14,16,18,19,20,23,26,27,29,31,37,43"
9.921816784309e-01,9.838536153420e-01,1.568541484658e+00,1.568761777081e+00,3.803353154792e-01,3.429650909902e-01,2.358406767760e+00,2.899065040219e+00,1.400000000000e+01,2.300000000000e+01,5.000000000000e+00,4.200000000000e+01,19,"3,7,8,10,11,14,17,19,20,23,25,26,28,29,31,39,47"
