src,dst,weight
Cr,Fe,8.161065786624e+00
Cr,Th,1.303252624573e+01
Cs,F,3.267962407979e+00
Cs,He,1.069455364611e+01
Cs,Kr,4.747910486998e+00
Cs,N,4.061947968091e+00
Cs,Na,4.121455583037e+00
Cs,Ne,6.335605774944e+00
Cs,O,5.493722880154e+00
Cs,Xe,3.494672135978e+00
Db,Fm,1.569434405896e+01
Db,He,1.317665332367e+01
Db,Hf,1.618142191615e+01
Db,Hs,1.600846769856e+01
Db,Kr,5.217967298823e+00
Db,Lr,1.524160423190e+01
Db,Md,1.571991226218e+01
Db,Na,5.891825248663e+00
Db,Ne,6.012901331985e+00
Db,No,1.573247720777e+01
Db,Rf,1.555481472138e+01
Db,Sg,1.608151970776e+01
Db,W,1.740636175524e+01
Db,Xe,3.555110504454e+00
Dy,Es,3.288543886517e+00
Dy,F,4.014653852814e+00
Dy,Ne,3.257939664021e+00
Dy,Po,3.353803057707e+00
Er,F,3.737851302685e+00
Es,He,1.214157136717e+01
Es,Kr,4.573341184905e+00
Es,Mn,3.444076220227e+00
Es,Na,4.511156822344e+00
Es,Ne,5.989668226855e+00
F,Fr,4.136952085618e+00
F,Gd,4.765340599838e+00
F,Ho,5.711271924084e+00
F,Ir,3.279606068177e+00
F,La,5.256537357282e+00
F,Lu,3.822989197499e+00
F,Mo,5.616957968524e+01
F,Nb,9.719105185644e+00
F,Nd,5.662783510912e+00
F,Os,3.704850263784e+00
F,Pd,9.815256399600e+00
F,Pm,5.659337457784e+00
F,Pr,6.765029700811e+00
F,Rh,5.038837128220e+00
F,Ru,4.597430727375e+00
F,Sm,5.633003017455e+00
F,Ta,4.638510449262e+00
F,Tb,5.976710140960e+00
F,Tc,4.435041840646e+00
F,Tm,1.080831423266e+01
F,Y,1.907988421396e+01
F,Zr,5.719101372154e+00
Fe,I,4.752001236411e+00
Fe,Sc,3.720202811949e+00
Fe,Th,3.593583706636e+01
Fe,Ti,8.711106817317e+00
Fe,V,8.041944299893e+00
Fm,He,1.352487246036e+01
Fm,Hf,1.612498097934e+01
Fm,Hs,1.592455865932e+01
Fm,Kr,5.360056364732e+00
Fm,Lr,1.511899940357e+01
Fm,Md,1.562144276885e+01
Fm,Na,5.863607104109e+00
Fm,Ne,6.280223909805e+00
Fm,No,1.563464173927e+01
Fm,Rf,1.544801443658e+01
Fm,Sg,1.600129685944e+01
Fm,W,1.737600029722e+01
Fm,Xe,3.642685009764e+00
Fr,He,9.749603621012e+00
Fr,Kr,3.628966059415e+00
Fr,N,3.366841576961e+00
Fr,Ne,5.058860196950e+00
Fr,O,4.690685984554e+00
Gd,N,3.639263019063e+00
Gd,Ne,4.015835688861e+00
Ge,Nb,4.162121076335e+00
Ge,Pd,4.200095106960e+00
H,Th,3.734632400339e+00
He,Hf,4.574730303897e+00
He,Ho,1.073227644876e+01
He,Hs,1.237307070053e+01
He,In,5.261627101797e+00
He,Ir,4.702955415242e+00
He,La,7.179911519431e+00
He,Lr,1.518494022933e+01
He,Lu,6.456827033783e+00
He,Md,1.343112115433e+01
He,Nb,2.041007096382e+01
He,No,1.338504908394e+01
He,Np,1.406975726570e+01
He,Os,5.279130861381e+00
He,Pa,1.475810792812e+01
He,Pd,2.013899909023e+01
He,Pm,8.672708810193e+00
He,Po,5.394517413211e+00
He,Pr,9.251421066235e+00
He,Pu,1.457852579402e+01
He,Ra,1.218102239433e+01
He,Rb,8.238438083879e+00
He,Re,4.718527183744e+00
He,Rf,1.403648673043e+01
He,Rh,9.797939646648e+00
He,Ru,6.328693652028e+00
He,Sg,1.210520982615e+01
He,Sm,5.731482336332e+00
He,Ta,6.908498472469e+00
He,Tb,5.193865503666e+00
He,Tc,6.620519039607e+00
He,Th,6.852912876276e+00
He,Ti,3.269021177539e+00
He,Tl,6.273443816430e+00
He,U,1.485652502185e+01
He,V,4.163657660335e+00
He,Y,5.739825565606e+00
He,Yb,3.788423750338e+00
He,Zr,9.367911633566e+00
Hf,Hs,1.631167023186e+01
Hf,Lr,1.585590966712e+01
Hf,Md,1.614017661617e+01
Hf,No,1.614764418627e+01
Hf,Rf,1.604205621833e+01
Hf,Sg,1.635508633710e+01
Hf,W,1.630000280545e+01
Ho,Kr,4.275553066471e+00
Ho,N,5.001175346533e+00
Ho,Ne,6.871984453512e+00
Ho,O,5.906375552918e+00
Hs,Kr,4.890069454422e+00
Hs,Lr,1.552453845112e+01
Hs,Md,1.594714955450e+01
Hs,Na,5.956944043789e+00
Hs,Ne,5.396003075487e+00
Hs,No,1.595825136585e+01
Hs,Rf,1.580127691706e+01
Hs,Sg,1.626664935774e+01
Hs,W,1.747642665836e+01
Hs,Xe,3.353015492206e+00
I,Th,6.485751528620e+00
I,Ti,3.671154297273e+00
I,V,3.560610064674e+00
In,Na,3.928079855847e+00
In,O,4.204006353188e+00
Ir,O,3.759041005701e+00
K,Y,1.556934196737e+02
Kr,Lr,6.037438661625e+00
Kr,Md,5.321801616217e+00
Kr,Nb,8.254266891214e+00
Kr,No,5.303002139806e+00
Kr,Np,5.976334502817e+00
Kr,Pa,6.377818212855e+00
Kr,Pd,8.200651626773e+00
Kr,Pm,3.282839911718e+00
Kr,Pr,3.676569580492e+00
Kr,Pu,6.259825801248e+00
Kr,Ra,5.340459721894e+00
Kr,Rb,3.677245730632e+00
Kr,Rf,5.568817992334e+00
Kr,Rh,3.733695326842e+00
Kr,Sg,4.780770172955e+00
Kr,U,6.513004850109e+00
Kr,Zr,3.669978207076e+00
La,N,4.414360071818e+00
La,Ne,5.224436720958e+00
La,O,4.779825972132e+00
Li,Pa,3.314523830148e+00
Li,Pu,3.326091332290e+00
Li,U,3.671072805440e+00
Lr,Md,1.515200839581e+01
Lr,Na,5.729082526510e+00
Lr,Ne,7.554632891358e+00
Lr,No,1.516822995771e+01
Lr,O,4.027044692674e+00
Lr,Rf,1.493886461733e+01
Lr,Sg,1.561884985753e+01
Lr,W,1.723125788486e+01
Lr,Xe,4.060179622569e+00
Lu,N,3.697034225695e+00
Lu,Ne,3.510778225051e+00
Lu,O,4.636798044285e+00
Md,Na,5.871204296873e+00
Md,Ne,6.208252446545e+00
Md,No,1.566098205771e+01
Md,Rf,1.547676835941e+01
Md,Sg,1.602289531861e+01
Md,W,1.738417453592e+01
Md,Xe,3.619107258334e+00
Mg,Nb,3.613845634140e+00
Mg,Pa,3.319399768169e+00
Mg,Pd,3.594334817397e+00
Mg,Pu,3.323804157539e+00
Mg,U,3.594892430512e+00
Mo,Tm,1.390636434307e+01
Mo,Y,2.099558085894e+01
N,Nb,8.203673076754e+00
N,Nd,4.008146471020e+00
N,Os,3.404522122720e+00
N,Pd,8.265102985046e+00
N,Pm,4.601355018954e+00
N,Pr,5.269340167734e+00
N,Ra,4.028779355653e+00
N,Rh,4.617697193976e+00
N,Ru,4.022961715441e+00
N,Sm,4.473949768214e+00
N,Ta,4.107086122424e+00
N,Tb,4.554017530796e+00
N,Tc,3.940000733896e+00
N,Zr,4.947347127138e+00
Na,Nb,5.147314888209e+00
Na,No,5.874937774460e+00
Na,Np,6.291069470058e+00
Na,Pa,6.533342087750e+00
Na,Pb,3.689398792842e+00
Na,Pd,5.083539116498e+00
Na,Po,3.288166355022e+00
Na,Pu,6.497609772970e+00
Na,Ra,4.612192013032e+00
Na,Rf,5.822148137878e+00
Na,Sg,5.978650308832e+00
Na,Te,3.270285017166e+00
Na,Tl,3.790540923909e+00
Na,U,6.910446688459e+00
Nb,Ne,1.239230134144e+01
Nb,O,1.043132857769e+01
Nb,S,4.266001697335e+00
Nb,Si,3.729188991281e+00
Nb,Xe,5.378838001020e+00
Nb,Zn,3.688335634678e+00
Nd,Ne,5.001290041174e+00
Ne,No,6.172883613175e+00
Ne,Np,7.470752700768e+00
Ne,Os,3.289739359825e+00
Ne,Pa,7.937884758077e+00
Ne,Pd,1.222184836169e+01
Ne,Pm,5.138417725848e+00
Ne,Pr,7.104166698861e+00
Ne,Pu,7.852593347817e+00
Ne,Ra,6.520229515418e+00
Ne,Rb,4.969970870529e+00
Ne,Re,3.277583133310e+00
Ne,Rf,6.672982466443e+00
Ne,Rh,5.367264092017e+00
Ne,Ru,4.497721495328e+00
Ne,Sg,5.190370323321e+00
Ne,Sm,5.298350829197e+00
Ne,Ta,4.707827365773e+00
Ne,Tb,5.747365076296e+00
Ne,Tc,4.557700451845e+00
Ne,Th,8.052807816828e+00
Ne,Ti,4.404434382174e+00
Ne,U,7.995351567483e+00
Ne,V,4.829965506771e+00
Ne,Zr,6.157067128443e+00
No,Rf,1.549089885863e+01
No,Sg,1.603350941854e+01
No,W,1.738819159036e+01
No,Xe,3.607520477633e+00
Np,O,3.492097415634e+00
Np,Xe,4.192680236471e+00
O,Os,3.901144393913e+00
O,Pa,4.049793837832e+00
O,Pd,1.049126182855e+01
O,Pm,5.554194987586e+00
O,Po,3.955045427013e+00
O,Pr,5.486414799427e+00
O,Pu,3.850858216464e+00
O,Ra,5.981920393537e+00
O,Rb,4.359967213326e+00
O,Rh,5.955614326383e+00
