n_bands,best_k,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,silhouette_best,Z_R2,p_block,p_period,p_periodicity,p_silhouette,p_Z_R2,n_perm
62,2,7.338969226502e+00,3.399279629979e+01,6.145032506360e+06,7.304905169243e-01,7.176945905970e-01,4.975124378109e-03,4.975124378109e-03,1.243781094527e-01,4.761904761905e-02,4.975124378109e-03,200
63,2,7.065284353443e+00,3.399279629979e+01,6.052956895114e+06,7.273141575814e-01,7.179200466071e-01,4.975124378109e-03,4.975124378109e-03,1.442786069652e-01,4.761904761905e-02,4.975124378109e-03,200
64,3,6.821107165659e+00,2.635156605107e+01,6.345749733310e+06,7.248330165056e-01,7.210534556559e-01,4.975124378109e-03,4.975124378109e-03,2.338308457711e-01,4.761904761905e-02,4.975124378109e-03,200
65,2,6.576076951256e+00,2.635156605107e+01,6.260191671232e+06,7.186079764404e-01,7.375552772937e-01,4.975124378109e-03,9.950248756219e-03,1.641791044776e-01,4.761904761905e-02,4.975124378109e-03,200
66,2,6.733949604585e+00,2.939489958839e+01,5.532043602217e+06,7.203498886896e-01,7.395481630207e-01,4.975124378109e-03,4.975124378109e-03,1.791044776119e-01,4.761904761905e-02,4.975124378109e-03,200
67,2,6.886260978792e+00,2.939489958839e+01,5.441153464166e+06,7.167332427188e-01,7.204654840172e-01,4.975124378109e-03,4.975124378109e-03,1.492537313433e-01,4.761904761905e-02,4.975124378109e-03,200
68,2,6.945723290333e+00,3.468344982357e+01,5.798165530359e+06,7.318648808659e-01,7.218448367842e-01,4.975124378109e-03,4.975124378109e-03,1.940298507463e-01,4.761904761905e-02,4.975124378109e-03,200
69,2,6.941733425723e+00,3.468344982357e+01,5.674351493233e+06,7.326653089368e-01,7.413642420375e-01,4.975124378109e-03,4.975124378109e-03,1.741293532338e-01,4.761904761905e-02,4.975124378109e-03,200
70,2,6.789659446200e+00,2.879847647904e+01,4.945366640150e+06,7.280184338929e-01,7.483852875053e-01,4.975124378109e-03,4.975124378109e-03,1.442786069652e-01,4.761904761905e-02,4.975124378109e-03,200
71,2,6.946155251829e+00,2.879847647904e+01,4.916064724908e+06,7.247660716917e-01,7.618341148979e-01,4.975124378109e-03,4.975124378109e-03,1.094527363184e-01,4.761904761905e-02,4.975124378109e-03,200
72,2,7.204493610493e+00,3.543018691156e+01,5.200334918414e+06,7.295584741206e-01,7.520837190501e-01,4.975124378109e-03,4.975124378109e-03,1.393034825871e-01,4.761904761905e-02,4.975124378109e-03,200
73,2,7.017813943846e+00,3.543018691156e+01,5.101712142290e+06,7.274347874061e-01,7.446354114504e-01,4.975124378109e-03,4.975124378109e-03,1.542288557214e-01,4.761904761905e-02,4.975124378109e-03,200
74,2,6.698630906152e+00,3.304573144467e+01,4.424243130092e+06,7.223862190301e-01,7.434252642514e-01,4.975124378109e-03,4.975124378109e-03,1.741293532338e-01,4.761904761905e-02,4.975124378109e-03,200
75,2,6.740546734838e+00,3.304573144467e+01,4.360160682465e+06,7.193291544530e-01,7.627759010261e-01,4.975124378109e-03,4.975124378109e-03,2.189054726368e-01,4.761904761905e-02,4.975124378109e-03,200
76,2,6.816690246087e+00,3.070528419447e+01,4.738404593226e+06,7.184936625416e-01,7.594575983108e-01,4.975124378109e-03,4.975124378109e-03,1.194029850746e-01,4.761904761905e-02,4.975124378109e-03,200
77,2,7.212408103327e+00,3.070528419447e+01,4.671061004033e+06,7.153316887008e-01,7.615414600736e-01,4.975124378109e-03,4.975124378109e-03,1.741293532338e-01,4.761904761905e-02,4.975124378109e-03,200
78,2,7.419759296579e+00,3.624323008104e+01,4.049361829144e+06,7.299842388216e-01,7.671646222265e-01,4.975124378109e-03,4.975124378109e-03,2.686567164179e-01,4.761904761905e-02,4.975124378109e-03,200
79,2,7.046422510044e+00,3.624323008104e+01,4.003459787228e+06,7.260212209578e-01,7.642580148579e-01,4.975124378109e-03,4.975124378109e-03,2.039800995025e-01,4.761904761905e-02,4.975124378109e-03,200
80,2,6.752819360805e+00,3.133620072969e+01,4.373552452201e+06,7.227484417267e-01,7.532361261911e-01,4.975124378109e-03,9.950248756219e-03,1.144278606965e-01,4.761904761905e-02,4.975124378109e-03,200
