n_bands,metric,is_strict_local_max,is_plateau,plateau_span,eps
25,periodicity_strength,False,False,1,1950060.456866512
26,periodicity_strength,True,False,1,1950060.456866512
27,periodicity_strength,False,False,1,1950060.456866512
28,periodicity_strength,False,False,1,1950060.456866512
29,periodicity_strength,False,False,1,1950060.456866512
30,periodicity_strength,True,False,1,1950060.456866512
31,periodicity_strength,False,False,1,1950060.456866512
32,periodicity_strength,False,False,1,1950060.456866512
33,periodicity_strength,False,False,1,1950060.456866512
34,periodicity_strength,True,False,1,1950060.456866512
35,periodicity_strength,False,False,1,1950060.456866512
36,periodicity_strength,False,False,1,1950060.456866512
37,periodicity_strength,False,False,1,1950060.456866512
38,periodicity_strength,True,False,1,1950060.456866512
39,periodicity_strength,False,False,1,1950060.456866512
40,periodicity_strength,False,False,1,1950060.456866512
41,periodicity_strength,False,True,8,1950060.456866512
42,periodicity_strength,True,True,4,1950060.456866512
43,periodicity_strength,False,True,5,1950060.456866512
44,periodicity_strength,False,True,9,1950060.456866512
45,periodicity_strength,False,True,8,1950060.456866512
46,periodicity_strength,True,True,8,1950060.456866512
47,periodicity_strength,False,True,8,1950060.456866512
48,periodicity_strength,False,True,13,1950060.456866512
49,periodicity_strength,False,True,14,1950060.456866512
50,periodicity_strength,False,True,14,1950060.456866512
51,periodicity_strength,False,True,11,1950060.456866512
52,periodicity_strength,False,True,14,1950060.456866512
53,periodicity_strength,False,True,14,1950060.456866512
54,periodicity_strength,False,True,18,1950060.456866512
55,periodicity_strength,False,True,18,1950060.456866512
56,periodicity_strength,True,True,18,1950060.456866512
57,periodicity_strength,False,True,17,1950060.456866512
58,periodicity_strength,False,True,18,1950060.456866512
59,periodicity_strength,False,True,22,1950060.456866512
60,periodicity_strength,True,True,18,1950060.456866512
61,periodicity_strength,False,True,18,1950060.456866512
62,periodicity_strength,False,True,24,1950060.456866512
63,periodicity_strength,False,True,24,1950060.456866512
64,periodicity_strength,True,True,21,1950060.456866512
65,periodicity_strength,False,True,24,1950060.456866512
66,periodicity_strength,False,True,23,1950060.456866512
67,periodicity_strength,False,True,23,1950060.456866512
68,periodicity_strength,True,True,24,1950060.456866512
69,periodicity_strength,False,True,23,1950060.456866512
70,periodicity_strength,False,True,19,1950060.456866512
71,periodicity_strength,False,True,19,1950060.456866512
72,periodicity_strength,True,True,23,1950060.456866512
73,periodicity_strength,False,True,20,1950060.456866512
74,periodicity_strength,False,True,19,1950060.456866512
75,periodicity_strength,False,True,16,1950060.456866512
76,periodicity_strength,True,True,19,1950060.456866512
77,periodicity_strength,False,True,19,1950060.456866512
78,periodicity_strength,False,True,15,1950060.456866512
79,periodicity_strength,False,True,15,1950060.456866512
9,silhouette_best,False,False,1,0.004278170214470844
10,silhouette_best,True,False,1,0.004278170214470844
11,silhouette_best,False,False,1,0.004278170214470844
12,silhouette_best,True,False,1,0.004278170214470844
13,silhouette_best,False,False,1,0.004278170214470844
14,silhouette_best,True,False,1,0.004278170214470844
15,silhouette_best,False,False,1,0.004278170214470844
16,silhouette_best,True,False,1,0.004278170214470844
17,silhouette_best,False,False,1,0.004278170214470844
18,silhouette_best,True,False,1,0.004278170214470844
19,silhouette_best,False,False,1,0.004278170214470844
20,silhouette_best,True,False,1,0.004278170214470844
21,silhouette_best,False,False,1,0.004278170214470844
22,silhouette_best,True,False,1,0.004278170214470844
23,silhouette_best,False,False,1,0.004278170214470844
24,silhouette_best,False,False,1,0.004278170214470844
25,silhouette_best,False,False,1,0.004278170214470844
26,silhouette_best,True,False,1,0.004278170214470844
27,silhouette_best,False,False,1,0.004278170214470844
28,silhouette_best,False,True,3,0.004278170214470844
29,silhouette_best,False,False,1,0.004278170214470844
