phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
3.931630238271e+00,4.263628094820e+00,1.608020294534e+00,1.565735133021e+00,3.545838639241e-01,4.235198076724e-01,1.943932353024e+00,1.900027414098e+00,9.000000000000e+00,1.100000000000e+01,5.000000000000e+00,1.500000000000e+01,10,"3,4,6,10,11,13,17,18,19,20,22,23,24,25,27"
3.126863505875e+00,3.605837565814e+00,1.574019851532e+00,1.565077286054e+00,3.161030774577e-01,3.715614514649e-01,2.043588530111e+00,2.103144581285e+00,9.000000000000e+00,1.200000000000e+01,5.000000000000e+00,1.900000000000e+01,11,"3,5,6,9,13,16,19,20,22,23,26,27"
2.327989179036e+00,2.834687334216e+00,1.580268373878e+00,1.561904705394e+00,3.409660267520e-01,3.546582057375e-01,1.646526613041e+00,1.891327743420e+00,7.000000000000e+00,1.000000000000e+01,8.000000000000e+00,1.100000000000e+01,12,"3,6,10,14,17,18,20,23,24,27,32,36"
3.109473592722e+00,3.141548639909e+00,1.606323949551e+00,1.608797844902e+00,3.588067048418e-01,3.183464540717e-01,2.095401187917e+00,2.085950973150e+00,1.100000000000e+01,1.200000000000e+01,8.000000000000e+00,3.400000000000e+01,13,"5,6,7,8,12,15,17,20,23,24,27"
4.293453103363e+00,3.902931397299e+00,1.599196146624e+00,1.600371148392e+00,3.403373207525e-01,3.571661371598e-01,1.795705294637e+00,1.946403814590e+00,9.000000000000e+00,1.200000000000e+01,5.000000000000e+00,1.000000000000e+01,14,"4,8,9,11,16,19,22,24,26,29,33,41"
4.331054236928e+00,3.136294465306e+00,1.580003600688e+00,1.575680143590e+00,3.857656825388e-01,3.848145711342e-01,1.688209939918e+00,1.903019022426e+00,8.000000000000e+00,1.100000000000e+01,5.000000000000e+00,1.100000000000e+01,15,"4,5,7,9,10,12,13,15,16,17,20,21,23"
3.565806470257e+00,3.563974174969e+00,1.555421302955e+00,1.590522856709e+00,3.890873425889e-01,3.417384544338e-01,1.905993121768e+00,2.104384834601e+00,9.000000000000e+00,1.300000000000e+01,5.000000000000e+00,1.100000000000e+01,16,"3,6,7,10,11,15,16,19,22,23,24,25,27,29"
2.920344876699e+00,3.168749522975e+00,1.595433020860e+00,1.591276579762e+00,3.004779724492e-01,3.151994604456e-01,1.894834400343e+00,2.068774863713e+00,9.000000000000e+00,1.200000000000e+01,5.000000000000e+00,2.800000000000e+01,17,"4,6,7,9,10,14,15,16,19,21,22,24,25,27,30"
4.121801654409e+00,3.725795790378e+00,1.554104230504e+00,1.577205731669e+00,3.248934833730e-01,3.538941156308e-01,1.688646428602e+00,1.964635185870e+00,8.000000000000e+00,1.200000000000e+01,5.000000000000e+00,2.900000000000e+01,18,"3,4,6,7,8,10,11,13,14,17,19,21,23,24,28,32"
4.274401558683e+00,3.297285681415e+00,1.535864766197e+00,1.568538523316e+00,4.067099021573e-01,3.411195152952e-01,1.658190165929e+00,2.068006113407e+00,7.000000000000e+00,1.200000000000e+01,5.000000000000e+00,1.000000000000e+01,19,"3,4,6,7,8,11,12,15,16,17,18,20,21,22,24,25"
