symbol,pc1,pc2,pc3
Pr,-0.9453540553102057,-0.8232706243042733,-0.441209977339479
Pt,-0.8509498159115707,-0.8323118285504157,-0.4212894540272533
Pu,-0.7847888174080175,-0.7068781201367342,-0.34491525488580305
Ra,-0.8029832807214446,-0.7107731604274133,-0.3430529863045206
Rb,-0.8152720862078662,-0.4474583295745077,-0.26573159793027545
Re,-0.8257708258110518,-0.7395763293713186,-0.3553351211823801
Rf,-0.7838968992436343,-0.7052718363402654,-0.34381738115782506
Rh,-0.8601831572354701,-0.7736684885805866,-0.4073172479311186
Rn,-0.7886753757399975,-0.7263299543475418,-0.3545202274238636
Ru,-0.8890066343449265,-0.777786415464446,-0.39783308661751093
S,-0.16854463913797674,-0.8788212573742362,-0.4581855372502231
Sb,-0.8230629614899653,-0.7397259554559865,-0.3482909730212697
Sc,-0.8815379230180959,-0.8495553932804424,-0.4292016689023936
Se,-0.8271924565575824,-0.7821651152770429,-0.4067389586702387
Sg,-0.7837259123569,-0.7054442730654885,-0.34398022919663723
Si,-0.8890494619537187,-0.8976236501696866,-0.49199593339684106
Sm,-1.0119915598334355,-0.8796624068203712,-0.48223979543566386
Sn,-0.8157523741575157,-0.7674371553951717,-0.38592997485058383
Sr,-0.8413460261835848,-0.7388033460666859,-0.34511834712373035
Ta,-0.8747757978158451,-0.7593977048270031,-0.37918536075693166
Tb,-1.1257319710308809,-0.9918348364776435,-0.5912013601329561
Tc,-0.8749021680533265,-0.7654136634549814,-0.38549488752934663
Te,-0.7965849478164478,-0.7351635457971214,-0.36239938834681745
Th,-1.0175369141466586,-0.9617637881540266,-0.47294542954223556
Ti,-0.9601331389156884,-0.8801626430795603,-0.4480675835018686
Tl,-0.7950398627625752,-0.7099285208970503,-0.3427183359148915
Tm,-0.9208725539031423,-0.7165922142956658,-0.3070917650403789
U,-0.7849367482493124,-0.7080359724972419,-0.34578199220906736
V,-1.1356845187791667,-0.9670712537822748,-0.57498409241495
W,-0.8785974951858286,-0.7845659961717866,-0.3869174348813429
Xe,-0.6157751884469779,0.4983642809734898,0.9217603183423975
Y,-1.1464354371711203,0.23327336290809195,3.9134267194146894
Yb,-0.8178779667627583,-0.7247976618846089,-0.3440021376413864
Zn,-0.7209560281737467,-0.34816846260293266,0.06454515823629757
Zr,-0.9124272562243168,-0.8052339496526687,-0.42088308603869
