phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
9.971776237064e-01,9.885732275526e-01,1.670974616232e+00,1.654667323560e+00,1.615086268639e-01,1.822448230932e-01,1.983266191881e+00,2.191934087837e+00,1.100000000000e+01,1.500000000000e+01,5.000000000000e+00,1.200000000000e+01,10,"3,4,5,7,8,11,12,15,16,17,18,23,25,27"
1.423494924405e+00,1.109478961440e+00,1.616302386732e+00,1.622686831010e+00,2.197581751107e-01,2.171115512209e-01,1.446761064736e+00,1.517076724588e+00,6.000000000000e+00,7.000000000000e+00,8.000000000000e+00,4.200000000000e+01,11,"6,8,9,11,13,15,16,18,21,25,28"
1.184726799639e+00,1.201312536850e+00,1.617349422092e+00,1.640479425167e+00,1.691405604503e-01,1.655737125315e-01,7.963957482437e-01,1.139881975114e+00,3.000000000000e+00,8.000000000000e+00,8.000000000000e+00,1.000000000000e+01,12,"2,3,4,6,8,9,11,12,13,14,16,18,19,20,22,23,25"
1.137940085140e+00,1.124698549988e+00,1.630366889888e+00,1.615644992440e+00,2.192296589544e-01,2.303859085010e-01,1.499009896277e+00,1.504050518673e+00,5.000000000000e+00,5.000000000000e+00,5.000000000000e+00,4.600000000000e+01,13,"3,4,6,9,12,15,16,18,19,21,22,23,25"
7.129538198261e-01,1.036595395163e+00,1.669848200203e+00,1.669776005051e+00,1.637185426011e-01,1.678215355530e-01,1.635398502000e+00,1.187318457721e+00,8.000000000000e+00,5.000000000000e+00,8.000000000000e+00,2.200000000000e+01,14,"4,5,6,7,9,11,13,14,16,18,19,20,22,24,27"
8.922292960566e-01,1.054507379618e+00,1.607627775299e+00,1.628588903922e+00,1.871016270327e-01,1.694336293441e-01,1.077046459167e+00,1.418651501471e+00,5.000000000000e+00,8.000000000000e+00,5.000000000000e+00,5.100000000000e+01,15,"4,6,8,10,12,13,14,16,17,19,22,23,26,29"
9.975915170798e-01,1.171471209381e+00,1.644706979714e+00,1.655204216070e+00,1.975331485822e-01,1.800772569860e-01,1.567889371202e+00,1.524839106250e+00,4.000000000000e+00,4.000000000000e+00,5.000000000000e+00,4.900000000000e+01,16,"3,4,6,9,10,12,13,14,16,18,19,22,23,26"
1.235520296380e+00,1.002011791711e+00,1.654182357722e+00,1.644166437765e+00,1.692066776527e-01,1.856958628569e-01,7.264428542263e-01,1.111467629484e+00,3.000000000000e+00,9.000000000000e+00,5.000000000000e+00,3.600000000000e+01,17,"2,5,6,8,10,11,12,13,16,17,18,21,24,26"
1.203711556531e+00,1.106525025365e+00,1.641887702968e+00,1.620921622202e+00,1.949195942806e-01,2.163362186703e-01,9.423639485620e-01,1.122871252305e+00,5.000000000000e+00,8.000000000000e+00,5.000000000000e+00,1.200000000000e+01,18,"3,4,7,8,9,10,14,16,18,20,21,26,28"
1.090295042794e+00,1.167550355474e+00,1.610674405891e+00,1.631626125831e+00,2.271589539019e-01,2.152817073430e-01,1.168583333290e+00,1.454826485098e+00,4.000000000000e+00,6.000000000000e+00,5.000000000000e+00,3.900000000000e+01,19,"2,3,4,7,9,11,12,15,17,19,20,22,26"
