A_symbol,B_symbol,y_exists,kernel_cosine,kernel_dot,kernel_rbf,kernel_laplacian,kernel_poly2
O,V,1,-1.440304812444e-01,-2.352787401099e+00,3.366067460555e-01,3.522285788080e-01,8.768658443196e-01
O,W,1,-1.408126546481e-01,-4.349151982385e+00,1.430720599877e-01,2.479768458301e-01,7.787274479689e-01
O,Xe,0,5.775631345376e-01,1.311901689655e+01,5.923965142550e-01,4.850090902218e-01,1.834854532270e+00
O,Y,1,-1.473032229608e-01,-1.129153308981e+01,4.640826118319e-04,6.263319400111e-02,4.827795988841e-01
O,Yb,1,-2.625349658550e-01,-2.742489268021e+00,3.912980107610e-01,3.795945558350e-01,8.572513086572e-01
O,Zn,0,7.606212077161e-01,1.097326133454e+01,7.373993879613e-01,5.758379458186e-01,1.681105772879e+00
O,Zr,1,-4.647624106372e-01,-6.771931584503e+00,2.812898224408e-01,3.242568838924e-01,6.674478598480e-01
Os,P,0,-1.277477767676e-01,-6.156348646114e-01,7.407391392440e-01,5.782089318179e-01,9.669992887548e-01
Os,Pb,0,5.519656712644e-01,2.600393692633e+00,8.854709201748e-01,7.055602957486e-01,1.145501227620e+00
Os,Po,0,7.850925572824e-01,4.783795224996e+00,9.316314231949e-01,7.663498142966e-01,1.275299885613e+00
Os,S,0,-7.309393496471e-02,-4.871195857589e-01,6.780626492153e-01,5.361666835389e-01,9.738425391853e-01
Os,Sb,0,5.797703085987e-01,2.806442462364e+00,8.904192768445e-01,7.112865176979e-01,1.157452784156e+00
Os,Se,0,3.151361013010e-01,1.612870361269e+00,8.244716773467e-01,6.444668672039e-01,1.089082364891e+00
Os,Si,0,3.399183071955e-01,1.857092208738e+00,8.218018127065e-01,6.421021219255e-01,1.102902567508e+00
Os,Sn,0,6.763715125040e-01,3.027309529885e+00,9.150019313270e-01,7.422700775692e-01,1.170332730607e+00
Os,Te,0,4.436774324513e-01,2.145935249926e+00,8.593356741640e-01,6.774951577021e-01,1.119360296999e+00
P,Pa,1,-2.798173595636e-01,-2.610330352736e+00,4.257816411937e-01,3.969168419747e-01,8.638782895894e-01
P,Pb,0,4.483265870925e-01,1.694865431327e+00,8.933422782581e-01,7.147406729447e-01,1.093712644813e+00
P,Pd,0,-2.691257737590e-01,-2.844661282523e+00,3.537633730364e-01,3.608200928285e-01,8.521454805738e-01
P,Pm,1,-3.082251479725e-01,-1.896497045065e+00,6.239875183924e-01,5.032090809259e-01,9.001138931389e-01
P,Po,0,5.671473178978e-02,2.773072952266e-01,7.736665604459e-01,6.025581407727e-01,1.015045755429e+00
P,Pr,1,-3.312164947116e-01,-2.094684919526e+00,6.081876227645e-01,4.940220869276e-01,8.899788318971e-01
P,Pt,0,1.492665432047e-01,5.822647711331e-01,8.357795800976e-01,6.547217173129e-01,1.031721420984e+00
P,Pu,1,-2.602676927641e-01,-2.428868013698e+00,4.297824508432e-01,3.989361811831e-01,8.730191138162e-01
P,Ra,1,-6.261616641275e-02,-2.935589906244e-01,7.603332591524e-01,5.924738121724e-01,9.841948952336e-01
P,Rb,1,-1.457719239720e-01,-6.570121280145e-01,7.542695026078e-01,5.879919967471e-01,9.648011449695e-01
P,Re,0,-5.574263739864e-02,-2.470413360349e-01,7.748077027081e-01,6.034366286136e-01,9.866909938314e-01
P,Rf,1,-4.161633689973e-01,-6.031813140067e+00,1.497554733702e-01,2.520943341752e-01,7.005322113891e-01
P,Rh,0,-1.918622824229e-01,-1.053156949301e+00,6.893367347040e-01,5.433840973303e-01,9.438827796286e-01
P,Rn,0,5.383180214946e-01,3.232526862771e+00,8.337709442695e-01,6.528707643781e-01,1.182363928242e+00
P,Ru,0,-1.702233690977e-01,-8.648647171368e-01,7.177167775500e-01,5.621891747023e-01,9.537969334630e-01
P,S,0,7.515109603780e-01,4.018863537073e+00,9.165384290282e-01,7.443723042726e-01,1.229033722332e+00
P,Sb,0,3.556061460063e-01,1.381284448697e+00,8.734531870359e-01,6.922331255514e-01,1.076057703383e+00
P,Sc,1,9.000320965358e-02,4.236102198397e-01,7.894336143256e-01,6.149277576029e-01,1.023028927602e+00
P,Se,0,6.584449905811e-01,2.704173128310e+00,9.266072372809e-01,7.587449053852e-01,1.151513048797e+00
P,Sg,1,-3.515504841473e-01,-5.141487266806e+00,1.529949706631e-01,2.540652112973e-01,7.413914050921e-01
P,Si,0,5.303508334712e-01,2.325069075715e+00,8.930056999284e-01,7.143401218134e-01,1.129628237991e+00
P,Sm,1,-2.296034187056e-01,-1.404521098108e+00,6.427742897781e-01,5.143753856308e-01,9.255209044960e-01
P,Sn,0,4.125764519354e-01,1.481800198591e+00,8.917472904288e-01,7.128490529464e-01,1.081701202720e+00
P,Sr,1,2.742346495622e-01,1.129879277097e+00,8.503714371403e-01,6.685833967560e-01,1.062007080852e+00
P,Ta,1,-1.846164330664e-01,-9.601385573482e-01,7.079017372405e-01,5.555759623596e-01,9.487740049712e-01
P,Tb,1,-2.422659213183e-01,-1.589571894600e+00,6.118203606649e-01,4.961188446593e-01,9.159228769961e-01
