layer,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37
b11,-1.999497407780e-02,6.238583538482e-02,-1.430610303562e-02,-1.430610698192e-02,-1.433926744963e-02,-1.435597608732e-02,5.355576253199e-02,-1.102606791060e-02,-1.103111057141e-02,-1.006847184135e-02,1.000000000000e+00,5.540279748556e-03,-8.467232426915e-03,-1.061356783238e-02,-7.245088181663e-03,3.373594783474e-02,3.439105375095e-02,3.341981023996e-02,-5.984253282888e-02,-3.347786295950e-02,-4.767528306713e-02,-4.386023210466e-02,-7.276345796287e-02,-3.349290924471e-02,-6.254855356924e-02,-6.026735622654e-02,-4.767528306713e-02,-6.297048867301e-02,-6.913429049021e-02,-6.913026590607e-02,-6.250329755102e-02,-4.739789142047e-02,-4.301341078346e-02,5.040760036597e-02,-4.312115773879e-02,8.796794525867e-03,6.222923893595e-02
b12,4.599915033888e-03,8.611338147124e-02,-1.587542404326e-02,-1.587542950600e-02,-1.591164660401e-02,-1.593073772509e-02,7.536203332566e-02,6.484689501069e-02,1.714508085877e-01,-6.422031854178e-03,5.540279748556e-03,1.000000000000e+00,9.342276323326e-01,7.232723231521e-01,3.796416674380e-01,3.172843820461e-02,4.314306724152e-02,3.138431298051e-02,7.832059811043e-02,5.969370717445e-03,-2.604972940684e-02,-2.722000730655e-02,-2.430742130375e-02,-2.144051927454e-02,2.813021335817e-02,-1.240560193106e-02,-2.604972940684e-02,-2.850351251160e-02,-1.159032738911e-02,-5.304729147902e-03,-1.788665415656e-02,-2.300005318125e-02,-4.854624949491e-02,5.891135919568e-02,-4.866610526730e-02,1.662039019960e-01,6.374667774530e-02
b13,-8.032945651994e-03,8.959671479500e-02,-6.510817054219e-03,-6.510822778048e-03,-9.424204009744e-03,-8.823196382441e-03,6.088583539657e-02,6.408121875357e-02,2.480377763106e-01,-6.137290443907e-03,-8.467232426915e-03,9.342276323326e-01,1.000000000000e+00,8.785978283129e-01,5.583408391631e-01,4.200711803963e-02,5.485600774103e-02,4.165962337775e-02,6.279682439438e-02,-4.293604401197e-02,-1.342875973226e-02,-7.859136560973e-03,1.298134532537e-02,-2.613120369759e-02,3.424634270036e-02,2.629231217516e-02,-1.342875973226e-02,2.936041892217e-02,4.957236548935e-02,4.300181812360e-02,1.136809599851e-02,-7.212629507800e-03,-6.252083507123e-02,7.475416308841e-02,-6.230508007952e-02,1.097414957298e-01,1.036050386667e-01
b14,-3.152725115883e-02,3.401618853948e-02,1.681465551922e-01,1.681465523351e-01,1.277195617302e-01,1.366326444856e-01,8.161134853310e-03,5.311433558122e-02,3.333724357049e-01,-7.012285828429e-03,-1.061356783238e-02,7.232723231521e-01,8.785978283129e-01,1.000000000000e+00,8.622817865172e-01,5.944825741718e-02,7.761342735315e-02,5.912476600560e-02,2.131010103809e-02,-7.082997567561e-02,-1.943816907608e-02,-1.021166866208e-02,1.594154486321e-02,-3.548525732340e-02,1.337853885936e-02,3.444702447956e-02,-1.943816907608e-02,3.976672672405e-02,6.613574590498e-02,5.294871791417e-02,1.673529414059e-02,-1.034649887183e-02,-8.774393960405e-02,1.034602304777e-01,-8.735346992137e-02,6.728309363094e-02,1.251712659077e-01
b15,-5.474481650104e-02,-4.667877868144e-02,1.835967553756e-01,1.835967576352e-01,1.396484626108e-01,1.493291697191e-01,7.590030491778e-03,3.072246142751e-02,3.571813760288e-01,-5.264488303661e-03,-7.245088181663e-03,3.796416674380e-01,5.583408391631e-01,8.622817865172e-01,1.000000000000e+00,7.083858617078e-02,9.329207013981e-02,7.057418438107e-02,-8.118366782689e-03,-9.021720110875e-02,-3.328316573619e-02,-2.165213475464e-02,9.789294432565e-03,-4.459960715107e-02,-7.137864626080e-03,3.207891196495e-02,-3.328316573619e-02,4.546446056465e-02,7.006563304037e-02,4.839348683158e-02,1.389326399470e-02,-1.860413838634e-02,-1.049254886112e-01,1.232274685237e-01,-1.043317233404e-01,3.600149571407e-02,1.298221159717e-01
b16,1.046651360652e-01,5.155768213847e-01,3.812794608060e-02,3.812791284025e-02,3.798791504519e-02,3.806847739434e-02,7.922413131929e-01,3.161135291877e-02,6.270332267505e-02,2.846149850176e-02,3.373594783474e-02,3.172843820461e-02,4.200711803963e-02,5.944825741718e-02,7.083858617078e-02,1.000000000000e+00,8.168109036648e-01,9.996165676000e-01,2.245503445338e-01,-2.421486514900e-01,1.016401859226e-01,1.355671525790e-01,7.299241011972e-02,1.031669209757e-01,1.754697160635e-01,1.775517720899e-01,1.016401859226e-01,-2.493961334243e-02,8.378940396350e-03,3.898255496683e-02,7.843759595664e-02,8.053483464126e-02,-5.427621206562e-01,4.791940414472e-01,-5.426965347562e-01,1.947933141690e-01,5.035206170300e-01
b17,1.474170884256e-01,1.331788701091e-01,5.009237854550e-02,5.009236979784e-02,5.036743064336e-02,5.044798610018e-02,9.142157020687e-01,4.485193804470e-02,8.415634498598e-02,4.040271299650e-02,3.439105375095e-02,4.314306724152e-02,5.485600774103e-02,7.761342735315e-02,9.329207013981e-02,8.168109036648e-01,1.000000000000e+00,8.163800311612e-01,3.254973346076e-01,-3.046133662485e-01,1.278578699072e-01,1.705366232884e-01,8.777421722023e-02,1.194192611603e-01,2.449177952372e-01,2.094383474141e-01,1.278578699072e-01,-2.302095637822e-02,2.212211960937e-02,6.389549224730e-02,8.394458782772e-02,9.101286868159e-02,-5.695856569997e-01,5.261597564616e-01,-5.695299986470e-01,2.684265445400e-01,4.768765215692e-01
b18,1.039792722503e-01,5.120384339496e-01,3.777771385130e-02,3.777768083944e-02,3.780631369825e-02,3.775361355813e-02,7.923939436479e-01,3.133064789074e-02,6.241913785691e-02,2.818556382098e-02,3.341981023996e-02,3.138431298051e-02,4.165962337775e-02,5.912476600560e-02,7.057418438107e-02,9.996165676000e-01,8.163800311612e-01,1.000000000000e+00,2.230903399972e-01,-2.422497879098e-01,1.075578112923e-01,1.415822742812e-01,8.238333974808e-02,1.132644349655e-01,1.778601409710e-01,1.866398263946e-01,1.075578112923e-01,-2.523767280563e-02,7.811481256220e-03,3.804882456880e-02,9.775654720733e-02,9.243855905850e-02,-5.432086081991e-01,4.797475420147e-01,-5.430424512016e-01,1.931972511522e-01,5.014037705308e-01
b19,4.522847311386e-01,-4.905586935678e-02,-2.197554071389e-02,-2.197553747760e-02,-1.531745257449e-02,-1.661537956275e-02,3.344045269338e-01,7.431811744963e-02,7.180690287558e-02,6.675504203336e-02,-5.984253282888e-02,7.832059811043e-02,6.279682439438e-02,2.131010103809e-02,-8.118366782689e-03,2.245503445338e-01,3.254973346076e-01,2.230903399972e-01,1.000000000000e+00,-1.787593735812e-01,1.036135003383e-01,1.290644723681e-01,9.209159174907e-02,2.100061241072e-02,6.152473699713e-01,1.977966900362e-01,1.036135003383e-01,5.276633884433e-02,1.059148233665e-01,1.615361548670e-01,9.564386284091e-02,4.596966287354e-02,-4.916182274951e-01,5.947904294943e-01,-4.920074718508e-01,6.697712137309e-01,4.392594256446e-01
b20,-7.303015659938e-02,-2.040427475564e-01,-6.911498253815e-02,-6.911496916649e-02,-6.238933306696e-02,-6.396776879314e-02,-3.613822737357e-01,-7.338490544938e-02,-9.676144213607e-02,-6.873916343251e-02,-3.347786295950e-02,5.969370717445e-03,-4.293604401197e-02,-7.082997567561e-02,-9.021720110875e-02,-2.421486514900e-01,-3.046133662485e-01,-2.422497879098e-01,-1.787593735812e-01,1.000000000000e+00,1.711196415112e-01,3.939170226731e-02,3.778744114256e-01,-2.813016405619e-02,3.230539119859e-01,2.613596491432e-01,1.711196415112e-01,6.844664299441e-01,6.364692469109e-01,4.509776664167e-01,2.420669811816e-01,1.384693359193e-01,5.010955476476e-01,-4.189166650130e-01,5.010900329000e-01,3.669366880552e-01,-7.242129370697e-01
b21,2.431054805550e-02,-2.632231546013e-01,7.213283463307e-04,7.213452359636e-04,1.514774858172e-02,1.157433417206e-02,6.100571897522e-02,-2.923304477083e-03,-8.874215324653e-03,4.860910560728e-04,-4.767528306713e-02,-2.604972940684e-02,-1.342875973226e-02,-1.943816907608e-02,-3.328316573619e-02,1.016401859226e-01,1.278578699072e-01,1.075578112923e-01,1.036135003383e-01,1.711196415112e-01,1.000000000000e+00,9.912262444164e-01,8.035601866638e-01,9.311503582149e-01,5.193753090036e-01,8.027103188033e-01,1.000000000000e+00,3.537815546952e-01,3.551357966928e-01,4.165234011957e-01,4.738937191406e-01,6.531863220278e-01,-1.516016419391e-01,2.054063077004e-01,-1.509958246001e-01,1.372233266582e-01,-4.658500913472e-02
b22,3.445269199438e-02,-2.395830583576e-01,1.000367178662e-02,1.000368712193e-02,2.373242001000e-02,2.032007951886e-02,1.103521495506e-01,6.880178978391e-03,3.980944410973e-03,9.714680205884e-03,-4.386023210466e-02,-2.722000730655e-02,-7.859136560973e-03,-1.021166866208e-02,-2.165213475464e-02,1.355671525790e-01,1.705366232884e-01,1.415822742812e-01,1.290644723681e-01,3.939170226731e-02,9.912262444164e-01,1.000000000000e+00,7.642632043821e-01,9.481304593023e-01,4.834022328927e-01,7.790323083483e-01,9.912262444164e-01,2.669746413570e-01,2.747871471651e-01,3.619300015375e-01,4.481403805154e-01,6.438739820765e-01,-2.209761938173e-01,2.645192602902e-01,-2.203610444731e-01,8.994318345117e-02,4.991099401315e-02
b23,-3.360656940322e-03,-3.685309006370e-01,-1.004267163636e-02,-1.004264794538e-02,1.140491063229e-02,5.926959896402e-03,2.797827451303e-03,5.108070962434e-02,7.695567909538e-02,5.626840695496e-02,-7.276345796287e-02,-2.430742130375e-02,1.298134532537e-02,1.594154486321e-02,9.789294432565e-03,7.299241011972e-02,8.777421722023e-02,8.238333974808e-02,9.209159174907e-02,3.778744114256e-01,8.035601866638e-01,7.642632043821e-01,1.000000000000e+00,7.275070779803e-01,7.147982060181e-01,9.801308185558e-01,8.035601866638e-01,6.824331303692e-01,6.816285833329e-01,7.668460933753e-01,7.876611257383e-01,8.033499309426e-01,-8.140669455327e-02,2.066021120600e-01,-8.037899695129e-02,2.580083461059e-01,-1.659832186065e-01
b24,-4.601590873471e-03,-1.936080576561e-01,3.957039797627e-02,3.957041024257e-02,5.910283011892e-02,5.414707764244e-02,8.761710720382e-02,-1.815670753628e-02,-3.485921662587e-02,-1.610146100374e-02,-3.349290924471e-02,-2.144051927454e-02,-2.613120369759e-02,-3.548525732340e-02,-4.459960715107e-02,1.031669209757e-01,1.194192611603e-01,1.132644349655e-01,2.100061241072e-02,-2.813016405619e-02,9.311503582149e-01,9.481304593023e-01,7.275070779803e-01,1.000000000000e+00,3.359560537986e-01,7.304154163173e-01,9.311503582149e-01,1.177350737031e-01,1.180105047228e-01,2.160595898384e-01,4.678483305373e-01,7.380231010015e-01,-1.620814697871e-01,1.921817676589e-01,-1.610231587418e-01,-1.930570102900e-02,2.622937273278e-02
