model,lam,match_score,effective_rank,alpha,K90,K95,K99,percolation_k_star,modularity_k_max,fusion_event_k,cumvar_l2_vs_real,alpha_target,eta,r_latent,cascade_sigma
M5,8.000000000000e-01,1.533019107234e+02,1.057856665712e+01,1.537848101491e+00,10,24,51,29,25,2,3.170194990562e-01,,,4.000000000000e+00,2.000000000000e-01
M4,2.000000000000e-01,1.534897365509e+02,3.419175213619e+00,1.278730681604e+00,5,12,50,5,10,2,8.628648394544e-01,8.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M5,6.000000000000e-01,1.535895980638e+02,1.287038888736e+01,1.552188774579e+00,14,27,52,5,10,2,2.911845638537e-01,,,4.000000000000e+00,2.000000000000e-01
M4,4.000000000000e-01,1.535958996521e+02,3.227468114553e+00,1.387636944269e+00,4,7,47,5,10,2,8.875986849906e-01,8.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.537924490582e+02,3.194472713971e+00,1.352771033809e+00,4,7,47,5,10,2,9.005791217479e-01,1.000000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.551034621751e+02,5.750342777998e+00,1.378478218911e+00,7,19,52,5,10,2,6.505165219153e-01,1.100000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.556121410992e+02,3.236122493475e+00,1.065751427966e+00,4,21,53,5,23,2,9.215455129986e-01,1.400000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.563854730006e+02,7.537668118312e+00,1.621787342060e+00,7,9,48,32,21,2,4.438109596670e-01,6.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.567211856783e+02,1.088647132006e+01,1.498167852020e+00,9,24,53,31,28,2,2.750412652022e-01,1.400000000000e+01,1.000000000000e-01,4.000000000000e+00,
M5,1.000000000000e+00,1.569253582823e+02,4.714800178478e+00,1.161306342614e+00,4,4,45,14,12,2,7.001641615274e-01,,,4.000000000000e+00,4.000000000000e-01
M4,2.000000000000e-01,1.574429368971e+02,1.129116011430e+01,1.524908627183e+00,10,23,53,25,19,2,2.561625324769e-01,1.100000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.575588278628e+02,3.373241725797e+00,1.291489102309e+00,5,11,50,8,10,2,8.706146386408e-01,1.400000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.576697546651e+02,3.738908528956e+00,1.012182677076e+00,8,31,55,5,30,2,8.727852051256e-01,1.100000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.581386434355e+02,6.726169978413e+00,1.076690459416e+00,14,37,56,5,59,2,6.912527132809e-01,1.400000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.582133770429e+02,6.108164713712e+00,1.406769513144e+00,4,10,50,18,15,2,6.057328328478e-01,8.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M2,3.000000000000e-01,1.594671060153e+02,1.838521421677e+01,1.466668599372e+00,24,34,51,5,59,2,5.868329473907e-01,,,,
M4,1.000000000000e+00,1.610285397907e+02,4.639144253908e+00,1.178512288107e+00,4,4,44,18,10,2,7.019079094166e-01,1.100000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.614226383925e+02,8.473618442526e+00,1.331071349352e+00,9,29,54,5,10,2,4.622699907721e-01,6.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.616891464087e+02,5.629484308406e+00,1.008839272009e+00,16,38,56,5,57,2,7.680417487353e-01,1.100000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.623563467986e+02,1.150609573418e+01,1.393036812447e+00,10,30,54,21,20,2,3.001241412163e-01,8.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.632022169580e+02,4.843014849892e+00,1.046425179846e+00,9,33,55,8,26,2,7.944864266280e-01,6.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.659788709079e+02,9.996814810755e+00,1.382741632837e+00,7,27,54,17,14,2,3.410880419297e-01,6.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M1,1.000000000000e-01,1.674017719568e+02,1.339054347663e+01,1.343527568300e+00,14,36,56,5,15,2,3.641251116457e-01,,,,
M2,9.000000000000e-01,1.677962029564e+02,1.159414753032e+01,1.406009985775e+00,18,32,53,5,5,2,4.514601839700e-01,,,,
M4,4.000000000000e-01,1.691275696640e+02,3.315526580228e+00,1.474458542206e+00,5,7,44,25,7,2,8.717245535167e-01,6.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M2,5.000000000000e-01,1.692303627911e+02,1.707452685092e+01,1.335430400703e+00,25,38,54,5,60,2,5.822914031070e-01,,,,
M2,0.000000000000e+00,1.704878858071e+02,2.691581000316e+01,1.467273831270e+00,28,36,49,5,50,2,1.067534904754e+00,,,,
M4,0.000000000000e+00,1.708724895143e+02,5.188399921332e+00,1.215662245081e+00,7,26,54,5,7,2,7.288633740671e-01,1.200000000000e+01,5.000000000000e-01,4.000000000000e+00,
M2,4.000000000000e-01,1.723399048143e+02,1.899470330639e+01,1.304796458426e+00,27,39,55,5,54,2,6.709350458524e-01,,,,
M5,6.000000000000e-01,1.726213433616e+02,1.403023087607e+01,1.380249209207e+00,18,35,55,5,12,2,3.893058759581e-01,,,4.000000000000e+00,1.000000000000e+00
M5,1.000000000000e+00,1.729979467099e+02,6.389811686836e+00,9.657902967249e-01,4,30,54,5,10,2,6.181958148341e-01,,,4.000000000000e+00,6.000000000000e-01
M4,0.000000000000e+00,1.735657728641e+02,1.057858663741e+01,1.015523389611e+00,29,45,57,5,33,2,6.654834818786e-01,1.000000000000e+01,3.000000000000e-01,4.000000000000e+00,
M2,8.000000000000e-01,1.740855645999e+02,1.269085659463e+01,1.382362185012e+00,20,34,53,5,5,2,4.639602402924e-01,,,,
M2,2.000000000000e-01,1.753698292098e+02,1.903013192515e+01,1.605160116226e+00,23,32,47,5,5,2,6.010141115357e-01,,,,
M4,0.000000000000e+00,1.755700587392e+02,4.118522131875e+00,1.099551554982e+00,7,28,54,5,7,2,8.336041619253e-01,6.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M5,0.000000000000e+00,1.775979335333e+02,2.342789437593e+01,1.345046853782e+00,28,38,53,5,36,2,9.271339288257e-01,,,4.000000000000e+00,6.000000000000e-01
M4,0.000000000000e+00,1.777391347405e+02,1.049406581464e+01,1.020302375414e+00,29,45,57,5,29,2,6.748120759920e-01,1.000000000000e+01,1.000000000000e-01,4.000000000000e+00,
M2,7.000000000000e-01,1.785197764161e+02,1.387591668365e+01,1.373405120814e+00,21,35,53,5,5,2,4.825704630787e-01,,,,
M5,8.000000000000e-01,1.810421241452e+02,1.186030387456e+01,1.205354717005e+00,21,40,56,5,10,2,5.072815309625e-01,,,4.000000000000e+00,6.000000000000e-01
M4,0.000000000000e+00,1.810604281779e+02,4.325611612433e+00,8.271831039234e-01,21,41,57,8,60,2,8.773256852579e-01,1.100000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.816931619252e+02,7.861033361773e+00,1.342086207279e+00,8,25,53,26,7,2,5.014689632732e-01,1.200000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.832319563730e+02,4.834181422694e+00,7.738597977937e-01,26,43,57,5,59,2,8.916746338603e-01,8.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M5,0.000000000000e+00,1.875100327473e+02,2.862044644004e+01,1.324206435658e+00,30,39,53,5,40,2,1.159370844550e+00,,,4.000000000000e+00,2.000000000000e-01
M5,2.000000000000e-01,1.879151582554e+02,1.834073403074e+01,1.319352997633e+00,25,39,56,5,19,2,6.343658508323e-01,,,4.000000000000e+00,8.000000000000e-01
M4,0.000000000000e+00,1.897574150844e+02,1.538272619700e+01,9.162427172323e-01,39,50,58,5,48,2,9.088366784871e-01,6.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.919157556207e+02,1.158008731380e+01,9.215504043416e-01,35,48,58,8,29,2,7.986073604859e-01,1.200000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.996941733276e+02,9.824640902253e+00,8.961203368624e-01,33,47,58,5,17,2,7.966333993341e-01,1.200000000000e+01,1.000000000000e-01,4.000000000000e+00,
M5,4.000000000000e-01,2.016269500791e+02,1.992821754089e+01,1.455837016914e+00,22,35,53,38,28,2,6.075042814877e-01,,,4.000000000000e+00,2.000000000000e-01
M5,2.000000000000e-01,2.363293648335e+02,2.600324585133e+01,1.196702809291e+00,31,43,57,43,37,2,9.949820368049e-01,,,4.000000000000e+00,6.000000000000e-01
M5,2.000000000000e-01,2.387297398654e+02,2.639164960268e+01,1.321929655710e+00,29,39,54,51,31,2,9.946060710309e-01,,,4.000000000000e+00,2.000000000000e-01
M3,1.000000000000e+00,3.283818460911e+02,5.488275727541e+01,4.054656658809e-01,49,54,59,25,24,2,2.954855526373e+00,,,,
M3,5.000000000000e-01,3.300159478795e+02,5.853854179030e+01,2.199352629299e-01,52,56,59,8,19,2,3.337826301293e+00,,,,
M3,9.000000000000e-01,3.314860311881e+02,5.579494498839e+01,3.654100097549e-01,50,54,59,23,22,2,3.034676877753e+00,,,,
M3,1.000000000000e-01,3.340681679424e+02,5.994243879230e+01,4.545419166802e-02,54,57,60,8,24,2,3.698317723848e+00,,,,
M3,6.000000000000e-01,3.365047872209e+02,5.792783107438e+01,2.604722862259e-01,51,56,59,8,10,2,3.253762222839e+00,,,,
M3,7.000000000000e-01,3.389780138547e+02,5.729123499916e+01,2.958797940404e-01,51,55,59,29,26,2,3.180082876691e+00,,,,
M3,8.000000000000e-01,3.480485379524e+02,5.647659797568e+01,3.377241828112e-01,50,55,59,22,7,2,3.092748532173e+00,,,,
M3,2.000000000000e-01,3.503806921024e+02,5.976120040075e+01,9.152093643189e-02,54,57,60,20,19,2,3.604918312544e+00,,,,
M3,3.000000000000e-01,3.515260359391e+02,5.947941851020e+01,1.325604138388e-01,53,57,60,31,27,2,3.520931337564e+00,,,,
M3,4.000000000000e-01,3.605260216568e+02,5.911820533584e+01,1.711119536516e-01,53,57,60,28,14,2,3.439964680481e+00,,,,
M3,0.000000000000e+00,3.874974714784e+02,6.000000000000e+01,6.838652795452e-18,55,58,60,60,25,2,3.787226996622e+00,,,,
