model,lam,match_score,effective_rank,alpha,K90,K95,K99,percolation_k_star,modularity_k_max,fusion_event_k,cumvar_l2_vs_real,alpha_target,eta,r_latent,cascade_sigma
M4,8.000000000000e-01,1.329037063948e+02,5.076024824514e+00,1.577052713168e+00,5,6,42,5,16,2,6.741824196494e-01,1.400000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.330527140499e+02,5.474825785734e+00,1.561469558329e+00,6,11,48,5,21,2,6.241124761673e-01,1.100000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.336673183306e+02,4.725581656293e+00,1.579893672129e+00,4,6,39,5,11,2,7.098066577710e-01,6.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.338935437154e+02,5.265271397310e+00,1.451651194837e+00,7,13,51,5,24,2,6.702453752390e-01,1.200000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.340447813699e+02,4.913202617862e+00,1.634217849427e+00,6,7,41,5,11,2,6.676454049166e-01,6.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.342344541166e+02,6.332661037481e+00,1.548904892095e+00,5,7,46,5,19,2,5.539707619237e-01,8.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.344537110634e+02,3.541267714936e+00,1.203113339187e+00,4,4,39,5,16,2,8.535185833726e-01,1.000000000000e+01,3.000000000000e-01,4.000000000000e+00,
M1,0.000000000000e+00,1.350311630185e+02,2.796808615262e+00,1.241810473651e+00,3,7,48,5,33,2,9.558311629670e-01,,,,
M5,4.000000000000e-01,1.350777363943e+02,1.411266868157e+01,1.855874688768e+00,14,22,43,5,7,2,2.485028061606e-01,,,4.000000000000e+00,4.000000000000e-01
M4,1.000000000000e+00,1.351980292932e+02,2.383384152846e+00,1.165678794463e+00,3,4,35,5,11,2,1.011642319122e+00,1.100000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.352162614848e+02,6.391235792167e+00,1.522736583060e+00,6,11,49,5,19,2,5.641967371163e-01,1.000000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.352182614592e+02,2.495662662998e+00,1.405329846904e+00,3,4,35,5,10,2,9.935134909236e-01,1.400000000000e+01,7.000000000000e-01,4.000000000000e+00,
M5,0.000000000000e+00,1.356515460660e+02,2.127112685471e+01,1.756421539356e+00,22,30,44,5,40,2,7.277697447718e-01,,,4.000000000000e+00,4.000000000000e-01
M5,4.000000000000e-01,1.357388230634e+02,1.566409979496e+01,1.726124407803e+00,16,26,47,5,24,2,3.329896058733e-01,,,4.000000000000e+00,6.000000000000e-01
M4,6.000000000000e-01,1.358982256322e+02,5.632397229319e+00,1.519114675716e+00,5,8,47,5,20,2,6.409073869681e-01,6.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M5,0.000000000000e+00,1.359326478920e+02,1.628238828806e+01,1.562053872252e+00,22,31,49,5,49,2,5.655077237388e-01,,,4.000000000000e+00,8.000000000000e-01
M4,6.000000000000e-01,1.363972457706e+02,4.471264071581e+00,1.528703375507e+00,5,7,45,5,19,2,7.436673480974e-01,8.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.373998116815e+02,3.127370960624e+00,1.194667384206e+00,4,4,37,5,10,2,9.000032056387e-01,1.200000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.374512810446e+02,2.810602100651e+00,1.099175649535e+00,3,7,49,5,33,2,9.657314252286e-01,1.000000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.376040944199e+02,1.205331480342e+01,1.361180846661e+00,11,33,55,8,37,2,3.289949339611e-01,1.200000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.376995268094e+02,2.740905416033e+00,1.064679321445e+00,3,17,52,5,37,2,9.684131308723e-01,1.100000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.381430833264e+02,3.009000178376e+00,1.059066078562e+00,3,15,51,5,58,2,9.498662874045e-01,6.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.382038818453e+02,3.689816455967e+00,1.197324779229e+00,4,14,51,8,59,2,8.684698754197e-01,8.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.382946154002e+02,4.921809793446e+00,1.558179579762e+00,4,6,41,5,10,2,6.871121911599e-01,1.200000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.383593959586e+02,2.900031530744e+00,1.383412067088e+00,4,5,43,14,29,2,9.355729386423e-01,1.400000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.384163442768e+02,8.209006628163e+00,1.488168081901e+00,7,15,51,5,15,2,4.301562173792e-01,1.000000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.386224049703e+02,3.738071474767e+00,1.328620830913e+00,5,12,50,5,24,2,8.229305342630e-01,1.000000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.388723901982e+02,6.644326226100e+00,1.455873643596e+00,6,13,51,5,17,2,5.450571185856e-01,1.400000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.389630393274e+02,3.071987585311e+00,1.379147285551e+00,4,6,45,5,22,2,9.029535053350e-01,1.200000000000e+01,7.000000000000e-01,4.000000000000e+00,
