symA,symB,S_cos,S_wcos,S_dot,same_group,period_distance
Sc,Cm,-3.454269945705e-01,-6.955998568464e-01,-3.942117380715e+00,1,3.000000000000e+00
Sc,Bk,-3.744754619042e-01,-7.039223599140e-01,-4.255665553066e+00,1,3.000000000000e+00
Sc,Cf,-4.301759570230e-01,-7.689674161025e-01,-5.010242125689e+00,1,3.000000000000e+00
Sc,Es,-4.845667162053e-01,-8.012000325303e-01,-6.028918695639e+00,1,3.000000000000e+00
Sc,Fm,-4.801101488562e-01,-6.911010323370e-01,-8.474261458473e+00,1,3.000000000000e+00
Sc,Md,-4.832406370357e-01,-6.927576903235e-01,-8.531641429989e+00,1,3.000000000000e+00
Sc,No,-4.847706337290e-01,-6.935651250891e-01,-8.559839587420e+00,1,3.000000000000e+00
Sc,Lr,-4.213195637307e-01,-6.588686232165e-01,-7.458226105685e+00,1,3.000000000000e+00
Sc,Rf,-4.626381296471e-01,-6.817429732104e-01,-8.161130756766e+00,0,3.000000000000e+00
Sc,Db,-4.916205431998e-01,-6.971618850666e-01,-8.687387066963e+00,0,3.000000000000e+00
Sc,Sg,-5.248893398721e-01,-7.141897372105e-01,-9.343158170013e+00,0,3.000000000000e+00
Sc,Bh,-5.209178874505e-01,-7.121973189500e-01,-9.261186782132e+00,0,3.000000000000e+00
Sc,Hs,-5.168914043769e-01,-7.101657011993e-01,-9.179215394251e+00,0,3.000000000000e+00
Ti,V,9.822566728650e-01,9.966997651914e-01,1.072332494377e+01,0,0.000000000000e+00
Ti,Cr,7.345467436151e-01,9.327134075303e-01,8.928020266912e+00,0,0.000000000000e+00
Ti,Mn,2.956369666432e-01,5.091983455093e-01,3.133129509263e+00,0,0.000000000000e+00
Ti,Fe,8.602981371588e-01,8.833972329492e-01,1.826686787850e+01,0,0.000000000000e+00
Ti,Co,1.805332362803e-01,-1.729644134247e-01,3.222858372599e+00,0,0.000000000000e+00
Ti,Ni,4.419309138385e-01,3.739848624883e-01,3.193096253156e+00,0,0.000000000000e+00
