K,spectral_entropy,top1_variance_ratio,K90_within_submatrix,d_entropy_dK,d_top1_dK,collapse_score,entropy_within_layer,entropy_block_preserving,entropy_random_matched,top1_within_layer,top1_block_preserving,top1_random_matched,K90_within_layer,K90_block_preserving,K90_random_matched
30,2.290667689047e+00,2.412593074932e-01,9.000000000000e+00,1.740462022551e-02,8.879178140175e-03,-8.525442085331e-03,3.296821833628e+00,2.602585253306e+00,2.144756010263e+00,6.688856857959e-02,2.409787501804e-01,2.910936702212e-01,2.400000000000e+01,1.400000000000e+01,8.000000000000e+00
31,2.313351340039e+00,2.494001129030e-01,9.000000000000e+00,1.894960577200e-02,8.592474322173e-03,-1.035713144983e-02,3.321235928120e+00,2.632027550090e+00,2.156680664599e+00,6.507369342894e-02,2.377114409672e-01,2.871849410144e-01,2.400000000000e+01,1.500000000000e+01,8.000000000000e+00
32,2.328566900591e+00,2.584442561376e-01,1.000000000000e+01,2.210615221692e-02,1.201280813697e-03,-2.090487140322e-02,3.352669775190e+00,2.663194834698e+00,2.177470239481e+00,6.314800578593e-02,2.348032996811e-01,2.843876179154e-01,2.500000000000e+01,1.500000000000e+01,8.000000000000e+00
33,2.357563644473e+00,2.518026745304e-01,1.000000000000e+01,2.313487700318e-02,-5.166463931480e-03,-2.830134093466e-02,3.377245996670e+00,2.695340770044e+00,2.185597566547e+00,6.194500902892e-02,2.315397133852e-01,2.777758353359e-01,2.600000000000e+01,1.600000000000e+01,8.000000000000e+00
34,2.374836654597e+00,2.481113282746e-01,1.000000000000e+01,8.856798325311e-03,-3.971268901532e-03,-1.282806722684e-02,3.402863130038e+00,2.725508693282e+00,2.185414262661e+00,6.343578856820e-02,2.298522658857e-01,2.861026010310e-01,2.600000000000e+01,1.600000000000e+01,8.000000000000e+00
35,2.375277241123e+00,2.438601367273e-01,1.000000000000e+01,1.081587548254e-02,-2.948815557231e-03,-1.376469103977e-02,3.424501243874e+00,2.755474418731e+00,2.197740959960e+00,6.174580842000e-02,2.267292751339e-01,2.765390655774e-01,2.700000000000e+01,1.700000000000e+01,8.000000000000e+00
36,2.396468405562e+00,2.422136971601e-01,1.000000000000e+01,1.713327828511e-02,-4.004513562830e-03,-2.113779184794e-02,3.449304458076e+00,2.796242618781e+00,2.192356289549e+00,6.018045496471e-02,2.199722171809e-01,2.873621792418e-01,2.800000000000e+01,1.700000000000e+01,9.000000000000e+00
37,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,6.537696065684e-03,-3.181293779239e-03,-9.718989844923e-03,3.470214122979e+00,2.827565484490e+00,2.199306900440e+00,6.050254262169e-02,2.163081082313e-01,2.855008583765e-01,2.800000000000e+01,1.800000000000e+01,9.000000000000e+00
38,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,-4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,3.470214122979e+00,2.857437828617e+00,2.204912575191e+00,6.050254262169e-02,2.125535796816e-01,2.861027284448e-01,2.800000000000e+01,1.800000000000e+01,9.000000000000e+00
39,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,8.326672684689e-17,8.326672684689e-17,3.470214122979e+00,2.884840596643e+00,2.202650946224e+00,6.050254262169e-02,2.099045836107e-01,2.832441328906e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
40,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,-2.775557561563e-17,-2.775557561563e-17,3.470214122979e+00,2.914968365668e+00,2.208147478973e+00,6.050254262169e-02,2.057376613765e-01,2.785884609058e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
41,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,-5.551115123126e-17,-5.551115123126e-17,3.470214122979e+00,2.914968365668e+00,2.218238981767e+00,6.050254262169e-02,2.057376613765e-01,2.766881697637e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
42,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,2.220446049250e-16,1.110223024625e-16,-1.110223024625e-16,3.470214122979e+00,2.914968365668e+00,2.228774357753e+00,6.050254262169e-02,2.057376613765e-01,2.727533670884e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
43,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,5.551115123126e-17,5.551115123126e-17,3.470214122979e+00,2.914968365668e+00,2.241921349517e+00,6.050254262169e-02,2.057376613765e-01,2.703240221358e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
44,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,-2.220446049250e-16,-1.110223024625e-16,1.110223024625e-16,3.470214122979e+00,2.914968365668e+00,2.245603857426e+00,6.050254262169e-02,2.057376613765e-01,2.635904169006e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
45,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,-5.551115123126e-17,-5.551115123126e-17,3.470214122979e+00,2.914968365668e+00,2.240500503433e+00,6.050254262169e-02,2.057376613765e-01,2.550638414304e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
46,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,2.220446049250e-16,4.163336342344e-17,-1.804112415016e-16,3.470214122979e+00,2.914968365668e+00,2.236854948978e+00,6.050254262169e-02,2.057376613765e-01,2.547961885211e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
47,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,5.551115123126e-17,5.551115123126e-17,3.470214122979e+00,2.914968365668e+00,2.238225533329e+00,6.050254262169e-02,2.057376613765e-01,2.557013679768e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
48,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,-1.387778780781e-17,-1.387778780781e-17,3.470214122979e+00,2.914968365668e+00,2.249761849399e+00,6.050254262169e-02,2.057376613765e-01,2.522144802006e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
49,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,-2.220446049250e-16,-6.938893903907e-17,1.526556658860e-16,3.470214122979e+00,2.914968365668e+00,2.252507649643e+00,6.050254262169e-02,2.057376613765e-01,2.488968207641e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
50,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,-2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,3.470214122979e+00,2.914968365668e+00,2.259983417398e+00,6.050254262169e-02,2.057376613765e-01,2.501861610053e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
51,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,4.163336342344e-17,4.163336342344e-17,3.470214122979e+00,2.914968365668e+00,2.261581077128e+00,6.050254262169e-02,2.057376613765e-01,2.545320733546e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
52,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,2.220446049250e-16,0.000000000000e+00,-2.220446049250e-16,3.470214122979e+00,2.914968365668e+00,2.268637047941e+00,6.050254262169e-02,2.057376613765e-01,2.533364808274e-01,2.800000000000e+01,1.900000000000e+01,9.000000000000e+00
53,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,-4.163336342344e-17,-4.163336342344e-17,3.470214122979e+00,2.914968365668e+00,2.270687733496e+00,6.050254262169e-02,2.057376613765e-01,2.520493620151e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
54,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,-2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,3.470214122979e+00,2.914968365668e+00,2.267240889423e+00,6.050254262169e-02,2.057376613765e-01,2.580724767888e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
55,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,4.163336342344e-17,4.163336342344e-17,3.470214122979e+00,2.914968365668e+00,2.278060291606e+00,6.050254262169e-02,2.057376613765e-01,2.549175628064e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
56,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,2.220446049250e-16,0.000000000000e+00,-2.220446049250e-16,3.470214122979e+00,2.914968365668e+00,2.276107890593e+00,6.050254262169e-02,2.057376613765e-01,2.583886073825e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
57,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,-4.163336342344e-17,-4.163336342344e-17,3.470214122979e+00,2.914968365668e+00,2.269115894441e+00,6.050254262169e-02,2.057376613765e-01,2.681527985952e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
58,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,-2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,3.470214122979e+00,2.914968365668e+00,2.274084209820e+00,6.050254262169e-02,2.057376613765e-01,2.668778586553e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
59,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,4.163336342344e-17,4.163336342344e-17,3.470214122979e+00,2.914968365668e+00,2.279885301595e+00,6.050254262169e-02,2.057376613765e-01,2.647327038694e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
60,2.409543797694e+00,2.358511096017e-01,1.100000000000e+01,0.000000000000e+00,8.326672684689e-17,8.326672684689e-17,3.470214122979e+00,2.914968365668e+00,2.284746278998e+00,6.050254262169e-02,2.057376613765e-01,2.636057915836e-01,2.800000000000e+01,1.900000000000e+01,1.000000000000e+01
