iter,mean_top10_anova_block,mean_top10_anova_period,mean_top10_periodicity_strength
74,1.576043082267e+01,2.294864918162e+01,3.506419775480e+44
75,1.355599111087e+01,3.190656800923e+01,6.204742113707e+44
76,2.120200901842e+01,5.194877443948e+01,2.162584450026e+45
77,1.533154183241e+01,2.418723664640e+01,7.102418435642e+43
78,1.165136264694e+01,3.483401838756e+01,1.066236324047e+44
79,2.531788093859e+01,5.875824866715e+01,1.081806976592e+44
80,2.125280445490e+01,2.632069849209e+01,3.506414259524e+44
81,1.318813599288e+01,2.424527198483e+01,2.801401129060e+44
82,2.081732067643e+01,2.618731281669e+01,2.783735008671e+44
83,2.028815854203e+01,3.407143379275e+01,4.232569217074e+44
84,1.438564885930e+01,2.254954006203e+01,1.066233025387e+44
85,1.457724435661e+01,3.799552291065e+01,7.057153118341e+43
86,1.433985235135e+01,4.882516470902e+01,1.071057802140e+44
87,1.894758377495e+01,9.804043620529e+01,7.057095324197e+43
88,1.675587563511e+01,4.321086197149e+01,1.348951626397e+45
89,1.674073899185e+01,3.195695937318e+01,1.148677259413e+45
90,1.609519056133e+01,3.962516043631e+01,2.795018991684e+44
91,1.510562149731e+01,3.740407973103e+01,2.795025085268e+44
92,9.619970947251e+00,3.645657077512e+01,3.291015830904e+33
93,1.684908807400e+01,3.160637846730e+01,3.796236304555e+44
94,1.295051975691e+01,2.326282243409e+01,1.071801576420e+44
95,1.488471075491e+01,2.154867869052e+02,7.057144806777e+43
96,1.377773574141e+01,2.724753238050e+01,1.066249100473e+44
97,1.650361139571e+01,2.517025187611e+01,2.801387835619e+44
98,1.894079494470e+01,4.891130091545e+01,3.506416215832e+44
