condition,regime,K,participation_ratio,effective_rank,levina_bickel_mle,spectral_gap,eig1,eig2
shuffled_control,full_padded_1_60,24,1.219278757608e+01,1.622288738751e+01,1.333147395531e+01,1.608916838114e+00,4.394861105400e+00,2.785944267286e+00
shuffled_control,full_padded_1_60,25,1.221292414025e+01,1.642203442087e+01,1.395141998823e+01,1.384789550609e+00,4.542194836554e+00,3.157405285946e+00
shuffled_control,full_padded_1_60,26,1.251599938961e+01,1.693625862507e+01,1.413813623080e+01,1.354334304347e+00,4.665519674597e+00,3.311185370250e+00
shuffled_control,full_padded_1_60,27,1.285634483961e+01,1.747756578654e+01,1.441833766445e+01,1.362252195292e+00,4.677649432896e+00,3.315397237604e+00
shuffled_control,full_padded_1_60,28,1.305742226793e+01,1.788811692051e+01,1.524589454069e+01,1.485153285544e+00,4.815786861262e+00,3.330633575718e+00
shuffled_control,full_padded_1_60,29,1.343794152467e+01,1.847756985096e+01,1.577797305447e+01,1.508922155096e+00,4.840814429364e+00,3.331892274268e+00
shuffled_control,full_padded_1_60,30,1.372642424542e+01,1.897593338305e+01,1.570992233642e+01,1.589756450660e+00,4.939132865561e+00,3.349376414901e+00
shuffled_control,full_padded_1_60,31,1.396475668820e+01,1.939999634528e+01,1.592768619772e+01,1.604253893103e+00,4.956915279890e+00,3.352661386787e+00
shuffled_control,full_padded_1_60,32,1.434896251661e+01,1.989617580541e+01,1.705682666074e+01,1.566864095253e+00,5.043048789628e+00,3.476184694376e+00
shuffled_control,full_padded_1_60,33,1.351724977268e+01,1.954516643533e+01,1.736136915799e+01,1.619934618907e+00,5.814843709297e+00,4.194909090390e+00
shuffled_control,full_padded_1_60,34,1.375909666494e+01,2.000375913742e+01,1.763298263755e+01,1.634985339982e+00,5.831417644753e+00,4.196432304770e+00
shuffled_control,full_padded_1_60,35,1.381135537050e+01,2.021381313828e+01,1.804125758858e+01,1.771360096067e+00,6.036970331503e+00,4.265610235436e+00
shuffled_control,full_padded_1_60,36,1.410614632029e+01,2.068562762564e+01,1.809363447160e+01,1.798600827756e+00,6.075451384411e+00,4.276850556655e+00
shuffled_control,full_padded_1_60,37,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,38,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,39,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,40,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,41,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,42,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
