symbol,atomic_number,period,group,pc1,pc2,pc3,radius_pc12,phi3,cluster
Cf,98,7,,-0.2890245114481945,-0.6987125231962734,-0.8500567137251831,0.7561311779639631,1.1376865890210837,C2
Es,99,7,,-0.2899513542607462,-0.6996139082615993,-0.8503978547881318,0.7573185647207589,1.1387308373355691,C2
Fm,100,7,,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
Md,101,7,,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
No,102,7,,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
Lr,103,7,,-0.2894639334196811,-0.698906984861241,-0.8491036815141804,0.7564789106370544,1.137205963842768,C2
Rf,104,7,4.0,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
Db,105,7,5.0,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
Sg,106,7,6.0,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
Bh,107,7,7.0,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
Hs,108,7,8.0,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,0.7581895343343978,1.1394970084393012,C2
