symbol,atomic_number,period,group,dominant_band,band_strength,spectral_entropy,concentration_ratio,spike_projection,spike_distance
P,15,3,15,b33,205.0,1.3398664490905687,0.4408602150537634,0.7451133651417017,252.97913907291462
Pa,91,7,3,b10,51.0,0.3455608922812175,0.9107142857142856,-2.1289647954417967,51.12208435597837
Pb,82,6,14,b32,129.0,1.107368850639432,0.4795539033457249,-37.55290556518832,160.59507864069823
Pd,46,5,10,b10,76.0,-0.0,1.0,-2.5399002720293877,75.9575467390051
Pm,61,6,3,b10,229.0,1.0749263892612355,0.5088888888888888,-60.079613459840004,279.3500314059696
Po,84,6,16,b10,37.0,0.9679594484785208,0.5362318840579711,-8.935480844737814,45.023962309789255
Pr,59,6,3,b30,201.0,1.3694944245111749,0.339527027027027,-102.28185387670706,296.8845269924722
Pt,78,6,10,b10,979.0,0.6094450537914191,0.8213087248322147,-81.743561609691,990.5755852711911
Pu,94,7,3,b10,134.0,0.2379967460744346,0.943661971830986,-5.03970460962631,134.09176476371584
Ra,88,7,2,b10,139.0,1.0757862745891815,0.6205357142857143,-24.211354016947304,146.69632011971555
Rb,37,5,1,b31,226.0,1.0359743850575924,0.5022222222222222,-62.631261445232006,286.19805221171407
Re,75,6,7,b10,432.0,0.9978430077855782,0.6041958041958042,-82.47485182523539,471.1166509649234
Rf,104,7,4,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
Rh,45,5,9,b10,465.0,0.8054970904253138,0.775,-47.9037522421103,469.79062413071483
Rn,86,6,18,b33,90.0,1.0061136246185356,0.5172413793103449,5.828476826584331,111.6244993622904
Ru,44,5,8,b10,541.0,1.0677179578610694,0.6394799054373522,-90.97392997740889,565.8389736174644
S,16,3,16,b09,585.0,1.6540680443467943,0.3310696095076401,-11.148532548194424,820.7500899920888
Sb,51,5,15,b32,148.0,1.0008837030388495,0.5156794425087108,-41.56382117746449,180.49224019089505
Sc,21,4,3,b10,1983.0,0.8798706328321075,0.7413084112149533,-190.7784528932085,2015.5134784743248
Se,34,4,16,b32,167.0,1.082521346209716,0.5387096774193548,-46.596093468468716,189.09469604797945
Sg,106,7,6,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
Si,14,3,14,b32,519.0,0.9224714198019364,0.6594663278271918,-134.84420495985796,541.7490566569949
Sm,62,6,3,b31,331.0,1.1452567969220333,0.5196232339089482,-118.38874706850443,371.79712824005196
Sn,50,5,14,b32,217.0,1.10744038336688,0.4779735682819383,-62.95651531742608,272.8231610019331
Sr,38,5,2,b32,317.0,1.169703565606616,0.4342465753424657,-103.87326887189548,427.0413844276301
Ta,73,6,5,b10,526.0,1.0546391028432174,0.6477832512315271,-85.61953831708246,547.89715700884
Tb,65,6,3,b31,345.0,1.3452838596540233,0.4116945107398568,-147.35233925051986,439.02766213235327
Tc,43,5,7,b10,600.0,0.9978164045571758,0.6749156355455568,-89.2405609446848,619.3602524236424
Te,52,5,16,b32,115.0,1.1411042386106454,0.46,-33.8276817954572,143.84605640873613
Th,90,7,3,b10,9147.0,0.8472281368606536,0.6453365316777198,-685.8778374766723,10077.596717077853
Ti,22,4,4,b10,2478.0,1.0836783280872502,0.540222367560497,-287.0347663724766,2930.8060397940867
Tl,81,6,13,b32,55.0,1.2736140056149308,0.4166666666666667,-18.155588891055555,73.00941440676661
Tm,69,6,3,b10,538.0,1.156483775590006,0.4653979238754325,-166.0031722989999,658.9726449456521
U,92,7,3,b10,161.0,0.5941396210506695,0.7419354838709677,-8.13245934828599,169.94370569382227
V,23,4,5,b10,2975.0,0.9808118175687977,0.6801554641060814,-269.5979475017575,3100.8616458498814
W,74,6,6,b32,337.0,0.86852616164267,0.6633858267716536,-122.23287466118717,342.77853543076833
Xe,54,5,18,b10,559.0,1.4092071016752654,0.3531269740998105,6.216720858374462,828.7836583703669
Y,39,5,3,b10,342.0,1.162530398474448,0.6173285198555957,-59.04561350916054,362.4191158387301
Yb,70,6,3,b32,203.0,0.950607583429132,0.5935672514619883,-61.93840440248247,220.34435336553224
Zn,30,4,12,b32,206.0,1.726629311735789,0.25,-42.249141269256434,362.8650025312588
Zr,40,5,4,b10,458.0,1.0637147004264662,0.6387726638772664,-76.38644101680202,482.96388232329195
