symbol,atomic_number,pc1,pc2,pc3,name,period,group,electronegativity_pauling,ionization_energy_1,atomic_radius,source_note,block
Mo,42,0.2888088736478733,-0.2974476858634942,-0.562935344285991,Molybdenum,5,6.0,2.16,7.092271535801063,190.0,Bluegrams periodic-table-data CSV,d
N,7,-0.6456430562136888,-0.7680305898402886,-0.8997730763246083,Nitrogen,2,15.0,3.04,14.533819048156994,56.0,Bluegrams periodic-table-data CSV,p
Na,11,-2.242965995863852,-0.6333650263539212,1.326884281757097,Sodium,3,1.0,0.93,5.138606207000099,190.0,Bluegrams periodic-table-data CSV,s
Nb,41,-0.2595673627780569,-0.6694177416525647,-0.8387208289401897,Niobium,5,5.0,1.6,6.758541967698194,198.0,Bluegrams periodic-table-data CSV,d
Nd,60,3.588419932378017,2.9142801256528954,2.121258108387752,Neodymium,6,,1.14,5.52519356383976,206.0,Bluegrams periodic-table-data CSV,f
Ne,10,-1.4246442671232111,0.1295500758516323,-0.1693379647348389,Neon,2,18.0,,21.5649413773802,38.0,Bluegrams periodic-table-data CSV,p
Ni,28,2.1040414301387607,1.4046116713318852,0.6298820977188299,Nickel,4,10.0,1.91,7.639505113311361,149.0,Bluegrams periodic-table-data CSV,d
No,102,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,Nobelium,7,,1.3,6.653862817454747,,Bluegrams periodic-table-data CSV,f
Np,93,-0.2858733131481684,-0.6925330780151581,-0.847709363691695,Neptunium,7,,1.36,6.26520260615482,,Bluegrams periodic-table-data CSV,f
O,8,-0.1651287428378097,0.1426637484240858,-0.3405091903294582,Oxygen,2,16.0,3.44,13.617617376719302,48.0,Bluegrams periodic-table-data CSV,p
Os,76,0.5604169200338777,0.0339459437869303,-0.2963520977974012,Osmium,6,8.0,2.2,8.70598873311836,185.0,Bluegrams periodic-table-data CSV,d
P,15,-0.3344741768510728,-0.715873961660169,-0.9343103202729072,Phosphorus,3,15.0,2.19,10.48657071448709,98.0,Bluegrams periodic-table-data CSV,p
Pa,91,-0.2874935193791608,-0.6965314050604372,-0.8492293169131724,Protactinium,7,,1.5,5.886906667156224,,Bluegrams periodic-table-data CSV,f
Pb,82,-0.1876982439759211,-0.6550177149582708,-0.8420609881928369,Lead,6,14.0,1.87,7.416673258832736,154.0,Bluegrams periodic-table-data CSV,p
