symbol,atomic_number,pc1,pc2,pc3
Np,93,-0.2858733131481684,-0.6925330780151581,-0.847709363691695
O,8,-0.16512874283780976,0.1426637484240858,-0.34050919032945826
Os,76,0.5604169200338777,0.03394594378693035,-0.29635209779740124
P,15,-0.33447417685107284,-0.715873961660169,-0.9343103202729071
Pa,91,-0.2874935193791608,-0.6965314050604372,-0.8492293169131724
Pb,82,-0.18769824397592116,-0.6550177149582708,-0.8420609881928369
Pd,46,-0.28625699929157666,-0.6955473339573539,-0.8486103986465553
Pm,61,1.4706706777201295,0.9073880396532572,0.374666278753378
Po,84,-0.24356817925530933,-0.6675595444694007,-0.8295787179369873
Pr,59,3.275378398726009,2.6925649249223365,1.874365872333812
Pt,78,0.3559834349660004,-0.23564914663959557,-0.6730518574911142
Pu,94,-0.2823752986136221,-0.6910346337620814,-0.847147548417867
Ra,88,-0.17012553427312083,-0.6076709374290191,-0.7746505935580852
Rb,37,0.05514073257899388,-0.38208306145139964,-0.5294037892462866
Re,75,0.045330228963471844,-0.4827493696697412,-0.7027221648194124
Rf,104,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
Rh,45,1.2238092387945974,0.6954598253941434,0.21048861692175755
Rn,86,-0.33878078446808685,-0.7330649993082881,-0.9027773486143311
Ru,44,1.6201959906138543,1.0214509540532124,0.4675939578288649
S,16,-1.2649839427168785,0.24546941857248766,0.11772853600352533
Sb,51,-0.18009141450222704,-0.658064912700157,-0.8481816848521937
Sc,21,0.4897116518201654,-0.16291872793150255,-0.5355299998209384
Se,34,0.482830012980347,-0.04493653750578851,-0.39236789635196134
Sg,106,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
Si,14,0.7906518990141471,-0.040556817904075726,-0.6003953202488851
Sm,62,2.799052333992722,2.1317514176253742,1.3575055085176622
Sn,50,0.5113510138028817,-0.040703222688632426,-0.3992911620478558
Sr,38,-0.049612682196417957,-0.6194297497937172,-0.8397546334957058
Ta,73,0.8406923507797011,0.316786089440144,-0.037447021795109676
Tb,65,5.777724385452825,5.078856696937153,3.7322726913064685
Tc,43,0.8386166968423554,0.2976157009464815,-0.08404463645078858
Te,52,-0.0940470390948282,-0.5500724281774015,-0.7568025758956071
Th,90,2.8048729796231995,2.858685113573771,1.6031500270672416
Ti,22,1.3650440807490933,0.9289719306647886,0.25339811672227597
Tl,81,-0.23294510105038524,-0.6688872582959065,-0.8353848388099218
Tm,69,0.4710657393509854,-0.16855165982040626,-0.4070398993440356
U,92,-0.28087193297366025,-0.6812664243209767,-0.8434275540194065
V,23,2.485847233549584,1.8930675991454626,1.0209005732209018
W,74,1.238619907605217,0.5631020321854227,0.09811472823472404
Xe,54,-0.8910642639593346,-0.7812902111306991,-0.6913604957441168
Y,39,0.028825076642321076,-0.7600521601788713,1.2348326133626484
Yb,70,-0.14904493457593293,-0.6674458101206177,-0.8533293360786298
Zn,30,-0.7224870169815593,-0.8813122760077305,-0.585840801252755
Zr,40,1.726308844197092,1.2006692291331602,0.6623675350735896
